rm -f *.o
rm -f temp.txt
# rm -f sample_run
rm -f rtree
g++ -std=c++11 -c buffer_manager.cpp
g++ -std=c++11 -c file_manager.cpp
g++ -std=c++11 -c -g rtree.cpp
g++ -std=c++11 -c -g main.cpp
g++ -std=c++11 -o rtree buffer_manager.o file_manager.o rtree.o main.o
total_search_time = 449 , fetch_t = 374 , diff = 16 %
total_search_time = 255 , fetch_t = 200 , diff = 21 %
total_search_time = 335 , fetch_t = 271 , diff = 19 %
total_search_time = 278 , fetch_t = 227 , diff = 18 %
total_search_time = 399 , fetch_t = 326 , diff = 18 %
total_search_time = 343 , fetch_t = 279 , diff = 18 %
total_search_time = 283 , fetch_t = 243 , diff = 14 %
total_search_time = 226 , fetch_t = 195 , diff = 13 %
total_search_time = 302 , fetch_t = 258 , diff = 14 %
total_search_time = 298 , fetch_t = 255 , diff = 14 %
total_search_time = 257 , fetch_t = 236 , diff = 8 %
total_search_time = 213 , fetch_t = 187 , diff = 12 %
total_search_time = 354 , fetch_t = 284 , diff = 19 %
total_search_time = 363 , fetch_t = 304 , diff = 16 %
total_search_time = 96 , fetch_t = 76 , diff = 20 %
total_search_time = 91 , fetch_t = 76 , diff = 16 %
total_search_time = 110 , fetch_t = 98 , diff = 10 %
total_search_time = 147 , fetch_t = 115 , diff = 21 %
total_search_time = 105 , fetch_t = 82 , diff = 21 %
total_search_time = 78 , fetch_t = 66 , diff = 15 %
total_search_time = 148 , fetch_t = 114 , diff = 22 %
total_search_time = 116 , fetch_t = 98 , diff = 15 %
total_search_time = 130 , fetch_t = 107 , diff = 17 %
total_search_time = 132 , fetch_t = 104 , diff = 21 %
total_search_time = 307 , fetch_t = 252 , diff = 17 %
total_search_time = 417 , fetch_t = 350 , diff = 16 %
total_search_time = 204 , fetch_t = 175 , diff = 14 %
total_search_time = 109 , fetch_t = 91 , diff = 16 %
total_search_time = 98 , fetch_t = 76 , diff = 22 %
total_search_time = 163 , fetch_t = 129 , diff = 20 %
total_search_time = 147 , fetch_t = 123 , diff = 16 %
total_search_time = 112 , fetch_t = 97 , diff = 13 %
total_search_time = 210 , fetch_t = 153 , diff = 27 %
total_search_time = 238 , fetch_t = 187 , diff = 21 %
total_search_time = 159 , fetch_t = 128 , diff = 19 %
total_search_time = 191 , fetch_t = 168 , diff = 12 %
total_search_time = 314 , fetch_t = 259 , diff = 17 %
total_search_time = 204 , fetch_t = 164 , diff = 19 %
total_search_time = 143 , fetch_t = 120 , diff = 16 %
total_search_time = 199 , fetch_t = 164 , diff = 17 %
total_search_time = 282 , fetch_t = 230 , diff = 18 %
total_search_time = 131 , fetch_t = 106 , diff = 19 %
total_search_time = 130 , fetch_t = 101 , diff = 22 %
